Member,,"TOTAL ALLOWANCES CLAIMED, INC TRAVEL","TOTAL BASIC ALLOWANCES, EXC TRAVEL",TOTAL TRAVEL CLAIMED,Cost of staying away from main home,London supplement,Office running costs,Staffing costs,Centrally purchased stationery,Stationery associated postage costs,Central IT provision,Staff cover and other costs,Comms allowance,Mileage,MP Rail,MP Air,MP Misc (see notes),MP other Mileage,MP other Rail,MP other Air,MP other European,Spouse Total,No. of Journeys,Family Total,No. of Journeys,Employee Total,No. of Journeys
Ottaway,Richard,145373,142458,2915,21481,0,15484,87151,767,1785,1257,0,14533,2132,0,0,0,71,0,0,448,264,30,0,0,0,0
Cox,Mr Geoffrey,145360,131894,13466,20250,0,20898,81135,567,1523,1238,0,6283,3396,8885,0,0,0,0,0,0,1120,10,65,1,0,0
Austin,John,145285,143591,1694,23083,0,14363,96202,937,2454,1066,0,5486,1658,18,0,18,0,0,0,0,0,0,0,0,0,0
Hague,Rt Hon William,145123,132182,12941,21376,0,15726,88468,981,4061,1234,0,336,4969,2626,981,0,0,0,0,0,4164,28,0,0,201,4
Wood,Mike,144984,139380,5604,17976,0,11129,100135,1007,3410,1164,1678,2881,4869,293,0,0,0,0,0,0,0,0,0,0,442,4
Cruddas,Jon,144961,141367,3594,23071,0,13067,82371,2146,4830,1118,5295,9469,3176,0,0,0,0,0,0,418,0,0,0,0,0,0
Tami,Mark,144749,134460,10289,23079,0,20656,80206,658,2724,1401,0,5736,8538,762,0,0,0,0,0,0,989,10,0,0,0,0
Whitehead,Dr Alan,144689,139886,4803,14190,0,18207,90627,1768,3186,1399,0,10509,1118,2911,0,0,0,63,0,612,0,0,0,0,99,7
Hoban,Mr Mark,144636,137243,7393,21280,0,15979,85250,1010,3799,1139,0,8786,4145,315,0,0,0,910,0,422,1543,29,0,0,58,4
Waltho,Lynda,144615,136409,8206,16625,0,19616,83925,1514,5466,1037,0,8226,2712,4174,0,0,0,0,0,0,403,10,295,8,622,14
McCarthy-Fry,Sarah,144498,137889,6609,16792,0,18240,87669,1368,3337,1005,0,9478,1340,4465,0,0,0,144,0,0,482,10,0,0,178,8
Russell,Bob,144373,138217,6156,10963,0,20737,91105,1030,3032,1350,0,10000,2309,2209,0,0,330,445,0,0,156,6,0,0,707,21
O'Brien,Mr Mike,144360,135865,8495,8963,0,24234,87545,505,2031,1255,1269,10063,2134,5815,0,0,42,0,0,0,277,13,227,23,0,0
Munn,Meg,144356,133125,11231,23083,0,14631,81047,1308,5565,1180,0,6311,2309,6285,0,91,0,0,0,0,2052,24,0,0,494,5
Rammell,Bill,144340,142866,1474,12928,0,21410,90333,1785,5102,1338,0,9970,1080,244,0,0,0,0,0,0,0,0,0,0,150,24
Thurso,John,144323,111189,33134,21448,0,5093,74874,553,2336,1287,0,5598,5121,3595,15681,0,0,0,0,740,4486,22,1951,12,1560,11
Goggins,Paul,144292,136263,8029,20824,0,29032,77553,1081,2524,1077,0,4172,1680,5153,0,99,0,0,0,0,674,4,0,0,423,7
Llwyd,Mr Elfyn,144266,127208,17058,14396,0,29976,77235,450,1830,1123,0,2198,4854,10713,134,0,0,0,0,0,380,4,0,0,977,9
Purchase,Mr Ken,144250,136641,7609,14713,0,20752,90446,332,1030,1294,0,8074,4939,438,0,312,0,0,0,445,1475,25,0,0,0,0
Turner,Dr Desmond,144164,138357,5807,12321,0,20590,88154,1494,4080,1484,0,10234,4060,0,0,38,52,0,305,1247,105,10,0,0,0,0
Cooper,Rosie,144129,131263,12866,23083,0,18580,72096,1779,4848,1131,0,9746,1879,9704,0,0,0,0,0,1283,0,0,0,0,0,0
Gardiner,Barry,144092,139591,4501,15079,0,11946,93888,1799,4959,1333,0,10587,3293,659,0,0,0,0,0,549,0,0,0,0,0,0
Vaizey,Mr Edward,144088,137130,6958,23083,0,16969,82436,465,1577,974,4032,7594,4294,623,0,48,0,1681,0,0,85,3,0,0,227,6
Cousins,Jim,144066,129612,14454,9649,0,17111,93902,982,2737,1174,0,4057,2322,5957,3967,100,0,0,0,0,685,9,0,0,1423,12
Clwyd,Rt Hon Ann,143919,136104,7815,21165,0,14577,89847,836,4374,1007,0,4298,7013,413,0,0,0,0,0,0,0,0,0,0,389,11
Penrose,John,143700,138853,4847,21211,0,23624,79996,866,2682,1234,0,9240,1480,2969,0,13,0,0,0,0,106,6,0,0,279,9
Weir,Mr Mike,143525,126425,17100,21561,0,18534,75334,268,595,1458,0,8675,2386,3283,8538,40,0,58,0,691,807,8,583,8,714,3
Clark,Paul,143402,139750,3652,22204,0,19901,84890,1228,3414,1250,0,6863,3441,211,0,0,0,0,0,0,0,0,0,0,0,0
Singh,Mr Marsha,143353,130341,13012,22964,0,26026,69619,712,2018,1226,0,7776,0,4708,5812,0,0,0,0,0,1612,13,282,4,598,3
Watson,Mr Tom,143248,135352,7896,16069,0,19927,82801,1709,5280,1257,0,8309,1261,5450,0,0,0,0,0,0,646,11,0,0,539,6
Binley,Mr Brian,143106,137305,5801,21700,0,13809,82725,894,1808,1037,0,15332,782,1113,0,0,0,62,0,3732,112,8,0,0,0,0
Mallaber,Judy,143078,137222,5856,6854,0,10388,101456,1008,4380,1536,1600,10000,4621,410,0,0,0,0,0,529,0,0,0,0,296,11
Tredinnick,David,143039,136766,6273,23083,0,17363,94398,288,491,1143,0,0,5970,68,0,0,0,0,0,0,0,0,0,0,235,6
Davies,Mr Quentin,142857,131562,11295,23083,0,3941,97137,278,789,1157,5177,0,3816,3551,0,0,0,89,0,1171,1683,30,0,0,985,22
Wright,Mr Iain,142848,127585,15263,17882,0,20221,84844,884,1794,1316,0,644,3796,10719,0,0,0,0,0,0,0,0,0,0,748,12
Villiers,Mrs Theresa,142696,139981,2715,18181,0,21096,84892,1904,4965,1385,0,7558,1261,33,0,118,82,1221,0,0,0,0,0,0,0,0
Creagh,Mary,142644,135030,7614,23083,0,14452,82651,1016,3529,1138,0,9161,470,4457,0,102,0,131,0,0,1741,22,403,10,310,9
Moffatt,Laura,142591,137920,4671,18387,0,20702,84751,1547,5206,1327,0,6000,1790,2020,0,573,0,0,0,0,288,21,0,0,0,0
Hancock,Mr Mike,142347,134940,7407,10859,0,21251,85508,1758,4947,1259,0,9358,5536,0,0,791,0,0,0,0,1080,30,0,0,0,0
McLoughlin,Rt Hon Patrick,142343,131773,10570,22968,0,14620,80818,654,1020,1431,0,10262,4146,5418,0,310,0,0,0,0,588,8,0,0,108,2
Jenkin,Mr Bernard,142265,137809,4456,23083,0,21066,88724,398,1160,1156,0,2222,2918,505,0,62,116,0,0,0,418,30,80,10,357,24
Owen,Albert,142138,123373,18765,22519,0,17215,76318,626,1380,1213,0,4102,1254,10977,0,0,0,223,0,0,5213,30,0,0,1098,14
Davis,Rt Hon David,141963,131075,10888,17643,0,19258,88036,462,1489,1316,0,2871,993,8369,0,57,0,970,405,0,0,0,0,0,94,2
Francois,Mr Mark,141792,134658,7134,20689,0,11739,88842,1044,3215,1490,0,7639,640,5319,0,0,0,40,0,1135,0,0,0,0,0,0
Viggers,Sir Peter,141766,132665,9101,23083,0,20703,71754,278,977,1213,0,14657,5139,404,0,6,0,0,0,2333,1020,30,0,0,199,4
Heyes,David,141756,130689,11067,22861,0,19911,81934,260,283,1222,0,4218,5668,3766,0,24,0,0,0,0,902,14,0,0,707,10
Prescott,Rt Hon John,141644,126203,15441,23083,0,10920,88563,674,1712,1251,0,0,2464,9718,0,0,0,0,0,0,2031,20,0,0,1228,12
Williams,Mr Roger,141625,130418,11207,20486,0,13894,82167,664,2464,1123,0,9620,6659,3304,0,316,81,52,0,0,644,7,0,0,151,6
Bradshaw,Mr Ben,141595,138143,3452,19715,0,17117,84890,1446,4592,827,0,9556,0,3117,0,0,0,0,0,0,159,2,0,0,176,6
Meacher,Rt Hon Michael,141575,131253,10322,8944,0,21961,89882,1076,3671,1297,0,4422,0,9260,0,0,0,0,0,0,866,5,0,0,196,2
Johnson,Mr Boris,141287,139948,1339,23083,0,14319,94240,513,1057,1222,0,5514,0,0,0,0,0,589,750,0,0,0,0,0,0,0
Stunell,Andrew,141206,136157,5049,15383,0,12464,90732,539,1895,1283,0,13861,679,2829,0,0,0,171,0,0,743,20,0,0,627,18
Smith,Angela E.,141131,138660,2471,14618,0,18516,88849,1653,4152,1267,0,9605,2219,0,0,0,0,0,0,0,101,12,0,0,151,18
Naysmith,Dr Doug,141111,133227,7884,20808,0,18085,85325,461,2216,1168,0,5164,2137,5459,0,0,0,0,0,0,0,0,0,0,288,8
Herbert,Mr Nick,141036,135513,5523,22720,0,18419,90034,648,2330,1039,0,323,4019,475,0,0,0,573,437,0,0,0,0,0,19,2
Spink,Bob,140987,135016,5971,23083,0,13356,82472,1005,4845,1148,0,9107,4794,41,0,162,0,24,0,896,0,0,0,0,54,9
Flynn,Paul,140961,132865,8096,16958,0,13913,92902,202,510,1209,0,7171,3999,2780,0,0,0,58,0,344,592,4,0,0,323,5
Green,Damian,140946,135413,5533,22350,0,10512,84955,275,694,1111,7980,7536,3446,311,0,0,0,622,0,1154,0,0,0,0,0,0
Gilroy,Linda,140900,133091,7809,20283,0,14057,85836,921,3456,1350,0,7188,4868,2449,124,0,0,0,0,0,79,3,0,0,289,4
Mates,Rt Hon Michael,140805,135601,5204,23077,0,17471,83615,281,1388,1123,0,8646,3653,320,0,0,0,0,0,0,684,30,0,0,547,24
Eagle,Angela,140753,131051,9702,7045,0,19116,89492,1062,1534,1204,2028,9570,2045,7144,0,0,0,0,0,0,0,0,0,0,513,6
Blunt,Mr Crispin,140663,137540,3123,23083,0,19347,90703,670,2434,1303,0,0,2446,613,0,11,0,0,0,0,21,1,0,0,32,4
Brown,Lyn,140537,140284,253,15889,0,20358,93109,1858,4891,924,0,3255,137,0,0,0,0,116,0,0,0,0,0,0,0,0
Hendrick,Mr Mark,140443,124900,15543,16226,0,19528,77544,477,360,1296,0,9469,4164,9986,540,154,0,0,0,0,0,0,0,0,699,4
Bellingham,Mr Henry,140359,133569,6790,22350,0,14424,85576,1257,4735,1378,0,3849,4338,866,0,0,0,0,0,266,1320,30,0,0,0,0
Jones,Lynne,139982,134442,5540,13528,0,11538,100254,1054,1609,1354,2967,2138,4394,201,0,102,0,0,0,0,843,9,0,0,0,0
Paisley,Rt Hon Dr Ian,139565,131897,7668,18136,0,26084,85760,305,1612,0,0,0,0,0,7668,0,0,0,0,0,0,0,0,0,0,0
Gray,Mr James,139528,131894,7634,23083,0,15192,79509,752,2806,1184,0,9368,1849,4923,0,0,0,0,0,0,0,1,862,25,0,0
Salmond,Rt Hon Alex,139233,133063,6170,14130,0,19808,89809,1071,4768,1255,0,2222,958,0,2396,0,0,0,0,0,294,2,0,0,2522,17
Short,Rt Hon Clare,139210,128453,10757,14420,0,4108,105802,670,2231,1222,0,0,3412,6973,0,0,0,279,0,0,0,0,0,0,93,4
Huhne,Chris,139185,128849,10336,3970,0,20641,90637,971,1570,1103,0,9957,2530,5995,0,0,0,602,309,748,0,0,0,0,152,8
Follett,Barbara,139147,138775,372,22254,0,19907,91715,362,3047,1490,0,0,372,0,0,0,0,0,0,0,0,0,0,0,0,0
Spring,Mr Richard,139024,133520,5504,23083,0,16805,77375,1016,2801,1427,0,11013,5340,126,0,0,0,0,0,0,0,0,0,0,38,3
Luff,Peter,139015,132925,6090,19694,0,20994,83194,1134,1790,1335,0,4784,4853,364,0,110,0,0,0,0,617,12,0,0,146,7
Syms,Mr Robert,138917,133133,5784,23083,0,18630,81739,0,0,922,0,8759,5784,0,0,0,0,0,0,0,0,0,0,0,0,0
Southworth,Helen,138699,128476,10223,17643,0,17630,85361,483,1787,293,0,5279,1460,8235,367,0,0,0,0,0,0,2,0,0,161,6
Selous,Andrew,138628,133390,5238,23074,0,7372,89000,1148,5731,1237,0,5828,1416,2557,0,699,0,0,0,566,0,0,0,0,0,0
Ainsworth,Mr Peter,138415,132573,5842,12363,0,14168,94230,632,1753,1183,0,8244,2657,930,0,0,0,2171,0,0,11,2,0,0,73,18
Breed,Mr Colin,138371,126028,12343,17807,0,19113,74860,627,2025,1288,0,10308,5114,6645,82,0,0,0,0,0,335,1,0,0,167,2
Trickett,Jon,138359,125408,12951,6141,0,22531,83900,1508,4078,1346,0,5904,4065,4782,831,0,0,0,315,0,1510,22,0,0,1448,20
Gildernew,Michelle,138272,134672,3600,21000,0,21158,90506,111,519,1378,0,0,1576,0,352,0,0,0,0,0,358,4,0,0,1314,8
Newmark,Mr Brooks,138270,136292,1978,20000,0,8618,98107,267,816,1082,0,7402,979,999,0,0,0,0,0,0,0,0,0,0,0,0
Knight,Rt Hon Greg,138158,127000,11158,18305,0,11486,89029,861,4530,1247,0,1542,7114,4044,0,0,0,0,0,0,0,0,0,0,0,0
Clifton-Brown,Mr Geoffrey,138082,134671,3411,23083,0,21402,82859,496,1447,1365,0,4019,2893,162,0,0,0,67,222,0,0,0,0,0,67,2
Laxton,Mr Bob,138051,132320,5731,19042,0,17846,87111,778,1878,1346,0,4319,5087,482,0,0,0,0,0,0,0,0,0,0,162,2
Olner,Mr Bill,138010,125827,12183,23083,0,14075,84077,452,2037,1168,0,935,2122,6960,0,0,0,0,0,1086,1098,10,0,0,917,10
Rooney,Mr Terry,137978,123088,14890,13980,0,20791,81933,1161,2685,1265,0,1273,6290,4706,183,0,0,0,0,0,2022,14,0,0,1689,12
Pound,Stephen,137950,130837,7113,0,2812,10565,101057,1157,2685,1108,1599,9854,4251,0,0,324,0,0,0,2538,0,0,0,0,0,0
Adams,Mr Gerry,137943,134314,3629,21131,0,21273,90278,85,218,1329,0,0,0,0,1506,0,0,0,0,0,0,0,0,0,2123,10
Amess,Mr David,137748,129954,7794,23063,0,19777,79624,782,2595,1293,0,2820,4589,926,0,263,0,0,0,1705,61,5,15,2,235,24
Turner,Mr Andrew,137641,128795,8846,19953,0,14564,82453,1110,2523,1413,0,6779,3667,273,0,3930,0,0,0,0,0,0,0,0,976,0
Armstrong,Rt Hon Hilary,137636,117522,20114,11712,0,18621,75592,719,1418,1275,602,7583,2195,12251,1247,298,0,278,0,0,3703,24,0,0,142,2
Cash,Mr William,137579,124981,12598,22312,0,12114,79792,127,255,509,0,9872,5141,4536,0,25,0,0,0,0,1736,28,0,0,1160,24
Ladyman,Dr Stephen,137559,131316,6243,22793,0,20444,72207,1279,2469,1417,0,10707,5138,1105,0,0,0,0,0,0,0,0,0,0,0,0
Dismore,Mr Andrew,137445,133801,3644,3815,0,21377,90457,752,6205,1265,0,9930,2144,0,0,81,0,0,0,1419,0,0,0,0,0,0
Cormack,Sir Patrick,137417,132188,5229,22972,0,22350,79344,1100,5572,850,0,0,4749,160,0,0,0,0,0,0,320,2,0,0,0,0
Hoon,Rt Hon Geoff,137405,128348,9057,23083,0,18263,65379,318,1414,1240,0,18651,3708,4521,0,0,0,20,0,0,465,5,0,0,343,6
Jackson,Mr Stewart,137346,128829,8517,23083,0,22621,68081,668,2485,1071,0,10820,5045,2405,0,0,0,0,0,0,992,20,0,0,75,2
Gale,Mr Roger,137337,131760,5577,9375,0,22100,89088,1931,4835,915,0,3516,4604,519,0,33,271,64,0,0,0,0,0,0,86,4
Mole,Chris,137303,132960,4343,17973,0,15953,86202,1335,5255,1163,0,5079,0,3645,0,0,0,0,0,0,350,8,226,10,122,6
Beckett,Rt Hon Margaret,137206,137006,200,16974,0,8066,107458,915,2382,686,0,525,0,150,0,0,0,0,0,0,0,0,0,0,50,2
Slaughter,Mr Andrew,137153,133746,3407,0,5524,26347,84020,985,6001,970,0,9899,1482,1106,0,819,0,0,0,0,0,0,0,0,0,0
Chope,Mr Christopher,136992,130559,6433,22792,0,23208,81998,371,1289,901,0,0,4875,643,0,355,0,0,0,0,0,0,0,0,560,0
Prentice,Mr Gordon,136847,129292,7555,20313,0,15480,85966,953,3381,850,0,2349,3428,2038,1742,300,47,0,0,0,0,0,0,0,0,0
Heathcoat-Amory,Rt Hon David,136839,129334,7505,20930,0,15779,83029,1054,2780,734,0,5028,5086,1386,0,0,0,0,0,189,844,19,0,0,0,0
Tyrie,Mr Andrew,136832,132305,4527,23083,0,9234,93926,1268,3398,1396,0,0,4402,125,0,0,0,0,0,0,0,0,0,0,0,0
Jackson,Glenda,136793,136793,0,0,2812,12054,99554,970,2590,1052,12740,5021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Doherty,Mr Pat,136423,131508,4915,21000,0,21293,87083,210,622,1300,0,0,2916,0,1213,0,0,0,0,0,786,4,0,0,0,0
Galloway,Mr George,136390,136390,0,0,1978,17721,94005,47,485,1058,11096,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gibson,Dr Ian,136241,133274,2967,16216,0,10754,98119,796,2271,1023,0,4095,1440,1371,0,0,0,0,0,0,0,0,0,0,156,8
Mackay,Rt Hon Andrew,136239,128869,7370,22575,0,19303,75193,729,2188,1060,0,7821,5104,0,0,0,0,0,87,1771,408,30,0,0,0,0
McGuinness,Mr Martin,136236,132445,3791,21000,0,21231,89087,0,0,1127,0,0,1530,0,955,0,0,0,0,0,0,0,0,0,1306,14
Thomas,Mr Gareth,136231,135563,668,11748,0,18396,90737,752,2640,1298,0,9992,668,0,0,0,0,0,0,0,0,0,0,0,0,0
Campbell,Mr Gregory,136213,111594,24619,23083,0,5421,80112,291,1325,1362,0,0,6057,2174,13906,0,0,0,0,1238,1244,6,0,0,0,0
Winterton,Rt Hon Rosie,136199,128759,7440,21631,0,10539,85780,1486,5461,1034,0,2828,1988,5118,0,0,0,0,0,0,0,0,0,0,334,4
Murrison,Dr Andrew,136035,128464,7571,20401,0,15755,83421,838,3463,1199,0,3387,2613,4527,0,81,111,92,0,0,22,2,39,6,86,2
Lait,Mrs Jacqui,135916,128892,7024,15478,0,18226,82505,764,3853,1208,0,6858,6836,101,0,0,87,0,0,0,0,0,0,0,0,0
Pickles,Mr Eric,135829,131327,4502,13689,0,16579,88892,496,581,1146,0,9944,2451,1189,0,0,0,862,0,0,0,0,0,0,0,0
Ancram,"Earl of, Rt Hon Michael",135695,126661,9034,15756,0,10984,95089,534,1773,1192,0,1333,390,4602,1735,0,0,0,0,0,2307,22,0,0,0,0
Wright,Jeremy,135604,129835,5769,20409,0,17217,80427,859,1554,1163,0,8206,2251,3239,0,10,0,0,0,0,116,2,0,0,153,8
Field,Rt Hon Frank,135595,126359,9236,9573,0,8242,98711,567,1389,1214,0,6663,1061,5478,0,0,0,2335,0,0,0,0,0,0,362,4
Burns,Mr Simon,135537,130606,4931,18908,0,18088,80478,661,3110,1265,0,8096,4036,265,0,270,202,0,0,0,0,0,110,11,48,6
Lepper,David,135533,133840,1693,11175,0,19265,90376,1185,5813,908,0,5118,348,926,0,0,0,0,0,0,300,25,0,0,119,12
MacKinlay,Andrew,135474,131937,3537,15761,0,17162,92054,708,2448,1344,0,2460,3216,110,0,0,0,72,0,0,0,0,0,0,139,22
Kemp,Mr Fraser,135438,125674,9764,23075,0,20508,77174,559,2611,959,0,788,6885,2260,0,0,0,0,0,0,0,0,0,0,619,5
McDonnell,John,135180,131373,3807,0,2812,21150,90505,1878,4990,1281,0,8757,2343,12,0,0,533,809,110,0,0,0,0,0,0,0
Miliband,Rt Hon David,134993,130109,4884,17387,0,14961,83809,423,1893,1248,0,10388,440,2467,623,0,0,0,0,0,0,0,0,0,1354,12
Mactaggart,Fiona,134940,132289,2651,3392,0,11992,99820,1132,4728,1194,0,10031,1188,554,0,0,0,102,0,749,0,0,0,0,58,9
Brazier,Mr Julian,134800,129279,5521,15071,0,10913,95117,829,3450,1059,0,2840,3081,207,0,6,1023,0,0,0,397,30,550,50,257,21
Vara,Mr Shailesh,134585,128009,6576,22839,0,10075,90711,1133,1235,917,0,1099,4860,729,0,0,0,63,0,0,924,4,0,0,0,0
Laing,Mrs Eleanor,134583,133805,778,23082,0,21032,83456,280,1184,1199,0,3572,778,0,0,0,0,0,0,0,0,0,0,0,0,0
Ainsworth,Rt Hon Bob,134515,130817,3698,23083,0,19724,79747,426,978,1312,0,5547,605,2282,0,0,0,0,0,0,459,6,0,0,352,4
McNulty,Rt Hon Tony,134402,134402,0,12600,0,17892,90709,763,2243,981,0,9214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack,Rt Hon Michael,134316,122476,11840,22000,0,10873,82621,751,4858,1181,0,192,2808,8207,0,0,0,59,0,0,326,11,0,0,440,10
Barlow,Ms Celia,134309,126373,7936,0,0,22664,86070,692,2767,1071,0,13109,1161,4553,0,1394,0,27,0,249,397,12,101,8,54,5
McDonagh,Siobhain,134302,132508,1794,0,2812,9487,92408,1378,5285,1429,0,19709,1794,0,0,0,0,0,0,0,0,0,0,0,0,0
Hamilton,Mr David,134300,118899,15401,17784,0,16114,78550,18,190,1350,0,4893,2829,1576,9824,104,0,102,0,0,18,0,0,0,948,8
Khan,Mr Sadiq,134211,132621,1590,0,2812,24666,86316,1918,5010,1166,0,10733,1484,80,0,26,0,0,0,0,0,0,0,0,0,0
Dunne,Mr Philip,134183,128102,6081,0,0,20547,90297,1380,4417,1149,0,10312,0,3707,0,0,0,0,0,0,2012,28,232,6,130,2
Alexander,Rt Hon Douglas,134127,116182,17945,17169,0,17335,66668,2141,4619,1396,0,6854,264,5400,4693,0,0,0,0,0,4082,28,3153,23,353,2
Prosser,Gwyn,134083,129456,4627,14611,0,20035,85218,778,1931,1308,0,5575,4042,167,0,0,0,0,0,0,418,15,0,0,0,0
Hermon,Lady Sylvia,134004,125072,8932,16999,0,12309,92017,362,2634,685,0,66,0,437,7573,0,0,0,0,0,0,0,0,0,922,4
Bell,Sir Stuart,133933,112748,21185,22934,0,5086,77127,238,835,1061,0,5467,5555,10214,0,0,0,0,0,843,4095,26,0,0,478,4
Reid,Mr Alan,133927,118257,15670,15489,0,17536,68598,591,990,1363,0,13690,2501,2241,9397,1531,0,0,0,0,0,0,0,0,0,0
Jones,Mr Martyn,133729,125502,8227,23083,0,21712,67956,615,1973,1346,0,8817,7009,430,0,0,0,0,428,360,0,0,0,0,0,0
Pugh,Dr John,133355,128619,4736,23083,0,18088,77412,654,1431,1142,0,6809,872,2422,0,0,0,102,0,0,846,25,0,0,494,14
Drew,Mr David,133256,125676,7580,10479,0,14902,89330,1268,5732,1762,0,2203,2736,4405,0,0,0,0,0,0,404,9,0,0,35,2
Hodge,Rt Hon Margaret,133255,132071,1184,0,2812,24767,85976,1869,4430,1199,0,11018,1184,0,0,0,0,0,0,0,0,0,0,0,0,0
Buck,Ms Karen,133234,132157,1077,0,2812,18720,92761,2591,4405,1182,0,9686,0,1077,0,0,0,0,0,0,0,0,0,0,0,0
Lammy,Rt Hon David,133224,131739,1485,0,2812,18828,93013,1427,4475,1310,0,9874,0,1096,0,0,0,389,0,0,0,0,0,0,0,0
Howells,Dr Kim,133191,119660,13531,16013,0,5407,89853,304,1016,1212,0,5855,3724,6807,0,0,0,180,0,0,2265,21,0,0,555,22
Heal,Sylvia,133175,125444,7731,9707,0,12499,91356,1147,3275,1092,0,6368,3495,2845,0,0,0,0,0,0,882,18,0,0,509,19
Walter,Mr Robert,133170,122923,10247,22496,0,9529,79830,656,2940,1463,0,6009,5910,1651,0,1674,49,12,101,0,0,0,0,0,850,23
McIntosh,Miss Anne,133116,119821,13295,20382,0,12767,81071,710,1580,1163,0,2148,3677,3216,1580,2411,181,400,0,732,158,4,0,0,940,8
Brooke,Annette,132921,127465,5456,16285,0,19564,82177,825,3019,1216,0,4379,1440,2414,0,0,0,0,0,866,0,0,0,0,736,24
Dobbin,Jim,132884,123754,9130,9425,0,16088,95754,481,0,1309,0,697,6564,60,0,61,184,62,0,961,564,4,0,0,674,4
Marris,Rob,132513,128966,3547,11973,0,16056,89696,1311,1490,844,0,7596,836,2007,0,32,0,0,0,0,45,2,0,0,627,10
Howarth,David,132469,127832,4637,0,0,25970,89046,708,2180,1037,5043,3848,0,4348,0,0,10,0,0,0,0,0,0,0,279,24
Thornberry,Ms Emily,132390,132390,0,0,2812,21351,83106,2037,4626,1071,0,17387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Murphy,Conor,132361,129721,2640,21000,0,21293,85790,55,170,1413,0,0,1650,0,575,0,0,0,0,0,415,2,0,0,0,0
Salter,Martin,132263,124365,7898,0,0,20805,88865,1239,3041,1113,0,9302,1085,6413,0,5,173,0,0,0,0,0,0,0,222,10
Wilson,Mr Rob,132218,121633,10585,0,0,16580,89718,745,2952,1452,0,10186,1680,6960,0,1482,0,235,0,0,0,0,0,0,228,16
Curry,Rt Hon David,131899,121911,9988,9439,0,18172,90382,591,2237,1090,0,0,7090,2834,0,21,0,11,0,0,32,2,0,0,0,0
Boswell,Mr Tim,131781,127799,3982,6332,0,11653,91367,629,2924,999,0,13895,2557,310,0,13,0,0,0,1059,43,3,0,0,0,0
Clark,Greg,131754,128878,2876,23000,0,5221,94003,788,1526,1089,0,3251,690,1816,0,1,32,68,0,0,269,16,0,0,0,0
Abbott,Ms Diane,131735,129946,1789,0,2812,20178,90325,1521,3906,1351,1905,7948,1619,44,0,0,0,126,0,0,0,0,0,0,0,0
Johnson,Rt Hon Alan,131711,122952,8759,11274,0,16346,84210,1299,4055,1139,0,4629,532,7231,0,0,0,0,0,0,0,0,0,0,996,10
Marshall,Mr David,131698,115799,15899,20779,0,17032,75198,627,1170,934,0,59,4273,2224,6202,49,0,0,0,0,1502,11,0,0,1649,12
Wicks,Rt Hon Malcolm,131601,131405,196,0,2812,21003,90747,1600,4023,1304,0,9916,196,0,0,0,0,0,0,0,0,0,0,0,0,0
Dean,Mrs Janet,131574,126520,5054,17261,0,11816,83932,1216,2938,1472,0,7885,1680,3324,0,0,0,0,0,0,0,0,0,0,50,2
Jenkins,Mr Brian,131554,125435,6119,8872,0,20593,82722,1262,4484,1417,0,6085,2744,3228,0,0,0,0,0,0,147,2,0,0,0,0
Hall,Patrick,131390,130013,1377,14940,0,17836,88444,804,1483,1180,0,5326,0,940,0,0,0,0,0,0,437,30,0,0,0,0
Prentice,Bridget,131352,130565,787,0,2812,30198,80832,1087,5364,1298,0,8974,787,0,0,0,0,0,0,0,0,0,0,0,0,0
Caton,Mr Martin,131324,124727,6597,13022,0,14366,84769,258,1479,1095,0,9738,5258,1339,0,0,0,0,0,0,0,0,0,0,0,0
Maples,Mr John,131255,126858,4397,23000,0,18662,75306,634,2822,1155,0,5279,4337,0,0,0,0,0,0,0,0,0,0,0,60,4
Ruddock,Joan,131237,130766,471,0,2812,22852,88964,1179,4938,1127,0,8894,400,0,0,0,0,0,0,71,0,0,0,0,0,0
Dowd,Jim,131165,128383,2782,0,2812,22723,88998,611,2277,1261,0,9701,1607,19,0,0,0,0,0,1156,0,0,0,0,0,0
Hughes,Simon,131165,130231,934,0,2812,17500,94343,1908,4207,1136,0,8325,934,0,0,0,0,0,0,0,0,0,0,0,0,0
Lewis,Dr Julian,131141,125190,5951,21604,0,16981,83049,590,1290,1345,0,331,3014,567,0,0,214,343,323,1399,0,0,0,0,91,8
Field,Mr Mark,131071,130128,943,0,2812,13540,93805,328,1565,896,3168,14014,0,928,0,0,0,15,0,0,0,0,0,0,0,0
Linton,Martin,131070,128547,2523,0,2812,20255,86957,1177,5819,1170,0,10357,0,1163,0,600,0,0,0,760,0,0,0,0,0,0
Greenway,Mr John,130967,121767,9200,23082,0,15370,80870,147,872,1426,0,0,4381,3508,0,0,0,16,0,0,891,6,0,0,404,4
Conway,Derek,130947,125363,5584,23033,0,23011,73772,395,959,1447,0,2746,5418,141,0,0,0,25,0,0,0,0,0,0,0,0
Ellwood,Mr Tobias,130186,123131,7055,23083,0,29718,66091,240,980,1065,0,1954,599,4083,0,0,0,552,0,891,706,10,0,0,224,11
George,Rt Hon Bruce,129901,121977,7924,15940,0,12448,90450,439,1052,1389,0,259,4460,213,0,129,0,0,0,1142,1440,30,0,0,540,13
