Member,,"TOTAL ALLOWANCES CLAIMED, INC TRAVEL","TOTAL BASIC ALLOWANCES, EXC TRAVEL",TOTAL TRAVEL CLAIMED,Cost of staying away from main home,London supplement,Office running costs,Staffing costs,Centrally purchased stationery,Stationery associated postage costs,Central IT provision,Staff cover and other costs,Comms allowance,Mileage,MP Rail,MP Air,MP Misc (see notes),MP other Mileage,MP other Rail,MP other Air,MP other European,Spouse Total,No. of Journeys,Family Total,No. of Journeys,Employee Total,No. of Journeys
Rennie,Willie,163202,147901,15301,21220,0,26629,82164,952,2870,1169,0,12897,1623,8527,3272,221,0,0,0,0,334,2,167,2,1157,7
Moore,Mr Michael,163098,144868,18230,21563,0,18403,89873,734,3324,964,0,10007,2926,4846,6749,139,0,0,0,760,2484,16,0,0,326,4
McGuire,Rt Hon Anne,162765,144979,17786,19595,0,19994,86623,1856,3640,1781,0,11490,1680,2784,9847,28,0,0,0,0,2094,12,0,0,1353,16
Robertson,Mr Laurence,162749,148338,14411,23083,0,30374,81454,487,1696,1229,0,10015,9662,1147,0,323,62,0,2049,83,0,0,0,0,1085,12
Milburn,Rt Hon Alan,162589,143860,18729,23083,0,21313,90504,612,2173,1187,0,4988,1714,13650,1737,0,0,0,0,0,551,4,167,2,910,10
Murphy,Rt Hon Jim,162542,148821,13721,22801,0,18962,91886,560,1583,1435,0,11594,1008,260,12378,75,0,0,0,0,0,0,0,0,0,0
Gwynne,Andrew,162325,146291,16034,23026,0,16576,94381,545,92,1280,0,10391,1569,13495,0,0,0,0,0,0,360,2,546,6,64,2
Clarke,Rt Hon Charles,162220,152948,9272,23083,0,19844,92000,1906,5092,1192,0,9831,2964,4517,0,0,0,0,0,366,830,19,29,2,566,16
Flello,Mr Robert,162116,150405,11711,20797,0,24990,86854,2654,4345,1376,0,9389,4993,5942,0,0,0,290,0,0,84,4,0,0,402,12
Taylor,Matthew,162040,148285,13755,23083,0,21297,87392,919,3346,1156,1869,9223,5986,2828,1369,764,0,41,417,0,919,8,0,0,1431,17
Pritchard,Mark,161827,146751,15076,23083,0,21708,76797,1220,4341,1103,0,18499,3996,4881,0,205,298,92,363,3947,1251,10,0,0,43,1
